analysis_id	analyzed_sample_id	platform	experimental_protocol	normalization_algorithm	other_analysis_algorithm	raw_data_repository	raw_data_accession	reference_sample_type
RNAseq_QB0318_CHC2103T	CHC2103T	60	Paired End	FPKM		1	EGAF00001883146	-888
RNAseq_QB0318_CHC2111T	CHC2111T	60	Paired End	FPKM		1	EGAF00001883147	-888
RNAseq_QB0318_CHC2113T	CHC2113T	60	Paired End	FPKM		1	EGAF00001883148	-888
RNAseq_QB0318_CHC2115T	CHC2115T	60	Paired End	FPKM		1	EGAF00001883149	-888
RNAseq_QB0318_CHC2200T	CHC2200T	60	Paired End	FPKM		1	EGAF00001883150	-888
RNAseq_QB0318_BCM257T	BCM257T	60	Paired End	FPKM		1	EGAF00001883151	-888
RNAseq_QB0318_BCM269T	BCM269T	60	Paired End	FPKM		1	EGAF00001883152	-888
RNAseq_QB0318_CHC3238T	CHC3238T	60	Paired End	FPKM		1	EGAF00001883153	-888
RNAseq_QB0318_CHC3618T	CHC3618T	60	Paired End	FPKM		1	EGAF00001883154	-888
RNAseq_QB0318_CHC3619T	CHC3619T	60	Paired End	FPKM		1	EGAF00001883155	-888
RNAseq_QB0318_CHC3620T	CHC3620T	60	Paired End	FPKM		1	EGAF00001883156	-888
RNAseq_QB0318_CHC3621T	CHC3621T	60	Paired End	FPKM		1	EGAF00001883157	-888
RNAseq_QB0318_CHC3624T	CHC3624T	60	Paired End	FPKM		1	EGAF00001883158	-888
RNAseq_QB0318_CHC3626T	CHC3626T	60	Paired End	FPKM		1	EGAF00001883159	-888
RNAseq_QB0318_CHC3627T	CHC3627T	60	Paired End	FPKM		1	EGAF00001883160	-888
RNAseq_QB0318_CHC3628T	CHC3628T	60	Paired End	FPKM		1	EGAF00001883161	-888
RNAseq_QB0318_CHC3631T	CHC3631T	60	Paired End	FPKM		1	EGAF00001883162	-888
RNAseq_QB0318_CHC3633T	CHC3633T	60	Paired End	FPKM		1	EGAF00001883163	-888
RNAseq_QB0318_CHC3638T	CHC3638T	60	Paired End	FPKM		1	EGAF00001883164	-888
RNAseq_QB0318_CHC3641T	CHC3641T	60	Paired End	FPKM		1	EGAF00001883165	-888
RNAseq_QB0318_CHC3643T	CHC3643T	60	Paired End	FPKM		1	EGAF00001883166	-888
RNAseq_QB0318_CHC3644T	CHC3644T	60	Paired End	FPKM		1	EGAF00001883167	-888
RNAseq_QB0318_CHC3647T	CHC3647T	60	Paired End	FPKM		1	EGAF00001883168	-888
RNAseq_QB0318_CHC3650T	CHC3650T	60	Paired End	FPKM		1	EGAF00001883169	-888
RNAseq_QB0318_CHC3716T	CHC3716T	60	Paired End	FPKM		1	EGAF00001883170	-888
RNAseq_QB0318_CHC1185T	CHC1185T	60	Paired End	FPKM		1	EGAF00001883171	-888
RNAseq_QB0318_CHC1591T	CHC1591T	60	Paired End	FPKM		1	EGAF00001883172	-888
RNAseq_QB0318_CHC2141T	CHC2141T	60	Paired End	FPKM		1	EGAF00001883173	-888
RNAseq_QB0318_CHC1208T	CHC1208T	60	Paired End	FPKM		1	EGAF00001883174	-888
RNAseq_QB0318_CHC1539T	CHC1539T	60	Paired End	FPKM		1	EGAF00001883175	-888
RNAseq_QB0318_CHC1548T	CHC1548T	60	Paired End	FPKM		1	EGAF00001883176	-888
RNAseq_QB0318_CHC1598T	CHC1598T	60	Paired End	FPKM		1	EGAF00001883177	-888
RNAseq_QB0318_CHC1731T	CHC1731T	60	Paired End	FPKM		1	EGAF00001883178	-888
RNAseq_QB0318_CHC1753T	CHC1753T	60	Paired End	FPKM		1	EGAF00001883179	-888
RNAseq_QB0318_CHC1994T	CHC1994T	60	Paired End	FPKM		1	EGAF00001883180	-888
RNAseq_QB0318_CHC2043T	CHC2043T	60	Paired End	FPKM		1	EGAF00001883181	-888
RNAseq_QB0318_CHC2128T	CHC2128T	60	Paired End	FPKM		1	EGAF00001883182	-888
RNAseq_QB0318_CHC2844T	CHC2844T	60	Paired End	FPKM		1	EGAF00001883183	-888
RNAseq_QB0318_CHC2899T	CHC2899T	60	Paired End	FPKM		1	EGAF00001883184	-888
RNAseq_QB0318_CHC3029T	CHC3029T	60	Paired End	FPKM		1	EGAF00001883185	-888
RNAseq_QB0318_CHC3788T	CHC3788T	60	Paired End	FPKM		1	EGAF00001883186	-888
RNAseq_QB0318_CHC3798T	CHC3798T	60	Paired End	FPKM		1	EGAF00001883187	-888
RNAseq_QB0318_CHC3825T	CHC3825T	60	Paired End	FPKM		1	EGAF00001883027	-888
RNAseq_QB0318_CHC3864T	CHC3864T	60	Paired End	FPKM		1	EGAF00001883028	-888
RNAseq_QB0318_CHC3880T	CHC3880T	60	Paired End	FPKM		1	EGAF00001883029	-888
RNAseq_QB0318_CHC3894T	CHC3894T	60	Paired End	FPKM		1	EGAF00001883030	-888
RNAseq_QB0318_CHC3914T	CHC3914T	60	Paired End	FPKM		1	EGAF00001883031	-888
RNAseq_QB0318_CHC4041T	CHC4041T	60	Paired End	FPKM		1	EGAF00001883032	-888
RNAseq_QB0318_CHC4042T	CHC4042T	60	Paired End	FPKM		1	EGAF00001883033	-888
RNAseq_QB0318_CHC4043T	CHC4043T	60	Paired End	FPKM		1	EGAF00001883034	-888
RNAseq_QB0318_CHC4046T	CHC4046T	60	Paired End	FPKM		1	EGAF00001883035	-888
RNAseq_QB0318_CHC4049T	CHC4049T	60	Paired End	FPKM		1	EGAF00001883036	-888
RNAseq_QB0318_CHC4051T	CHC4051T	60	Paired End	FPKM		1	EGAF00001883037	-888
RNAseq_QB0318_CHC4055T	CHC4055T	60	Paired End	FPKM		1	EGAF00001883038	-888
RNAseq_QB0318_CHC900T	CHC900T	60	Paired End	FPKM		1	EGAF00001883039	-888
